Canonical Pathways,1vsAll,2vsAll,3vsAll,4vsAll,5vsAll,6vsAll
14-3-3-mediated Signaling,1,0,0.577,2.744,2.694,-2.5
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian),0,0,0,-1.89,-0.447,0
3-phosphoinositide Biosynthesis,1.897,0,2.558,0.866,1.982,-1.528
3-phosphoinositide Degradation,0.816,0,3.771,0.152,1.151,-1.069
4-1BB Signaling in T Lymphocytes,0,0,0,-0.333,-0.378,-1.89
4-aminobutyrate Degradation I,0,0,0,0,0,0
ABRA Signaling Pathway,0,1,3.536,-0.577,-0.392,-2.887
Acetate Conversion to Acetyl-CoA,0,0,0,0,0,0
Acetylcholine Receptor Signaling Pathway,2.668,1.342,2.6,1.313,0.289,-1.877
Actin Cytoskeleton Signaling,3.153,0.447,2.556,1.953,-0.137,-3.674
Actin Nucleation by ARP-WASP Complex,1.89,0,0.707,2.558,1.633,-1.897
Activation of gene expression by SREBF (SREBP),0,0,-1.414,-0.905,1.5,0
Activation of IRF by Cytosolic Pattern Recognition Receptors,0,0,0.816,1.387,1,-2.121
Activation of kainate receptors upon glutamate binding,0,0,1,0.632,-0.905,0
Activation of Matrix Metalloproteinases,3,0,2.53,0.333,-2.111,-2.646
Activation of NMDA receptors and postsynaptic events,0,0,1.342,2,1.213,-1.633
Activation of the pre-replicative complex,2.449,0,0,2.121,1.342,0
Activin Inhibin Signaling Pathway,2.294,-0.816,1.808,2.032,1.432,-3.55
Acute Myeloid Leukemia Signaling,0,0,-0.333,2.117,1.257,-0.943
Acute Phase Response Signaling,0,0,0,2.714,2.03,-1.147
Adenine and Adenosine Salvage III,0,0,0,0,0,0
Adenosine Nucleotides Degradation II,0,0,0,-0.447,0,0
Adipogenesis pathway,0,-1,-0.471,0.539,-0.16,2.111
Adrenergic Receptor Signaling Pathway (Enhanced),0.943,1.414,1.633,-0.14,-0.309,-0.426
Adrenomedullin signaling pathway,3.5,0,0.626,2.06,0.405,-2.449
Agranulocyte Adhesion and Diapedesis,0,0,0,0,0,0
Agrin Interactions at Neuromuscular Junction,0.816,0,1.897,0.688,1.291,-1.89
Airway Inflammation in Asthma,0,0,0,0,0,0
Airway Pathology in Chronic Obstructive Pulmonary Disease,0,0,0,0,0,0
Aldosterone Signaling in Epithelial Cells,2.828,0,1.069,1.061,0.962,-2.138
Amino acids regulate mTORC1,0,0,1.342,-1.414,0.535,0
AMPK Signaling,2.53,0,0.218,1.508,1.206,-0.728
Amyloid Processing,0,0,2.236,-0.302,-1.342,0
Amyotrophic Lateral Sclerosis Signaling,2.646,0,1.213,-0.378,-1,-2.309
Androgen Biosynthesis,0,2,0,-2,0,0
Androgen Signaling,0.816,0,2.449,0.688,0,-1.667
Angiopoietin Signaling,1,0,1.134,1.606,0.209,-0.333
